sorting_criteria,post_ID,commentor_username,comment_text,comment_time
following,27245208,alrazisiam,Blending the image with the hero section that captures the attention immediately. Good work.,about 7 hours
following,27245208,tanbir-ahmed,wow!,about 7 hours
following,27245208,logo_km_ua,cool,about 7 hours
following,27245208,aftabulsamudro,This is such a great shot! Love your design,about 7 hours
following,27245208,appwave00,nice one,about 7 hours
following,27245208,beconfidency,"This has such a smooth, modern vibe.",about 7 hours
following,27245208,StasyaSavchuk,wow. Adorable,about 7 hours
following,27245208,Margaret_Jones,Incredible work you have here.,about 7 hours
following,27245208,AlexStone5,Your best work!,about 7 hours
following,27245208,Chris__ling,Attractive project!!,about 7 hours
following,27245208,Felipe_Bryant,Looks amazing!,about 7 hours
following,27245208,Andy_Fox,I like it!,about 7 hours
following,27245208,robdoode,Spellbinding work!,about 7 hours
following,27245208,Octopus_ds,I like it!,about 7 hours
following,27245208,Linda_Bridges,Very professional work!!!,about 7 hours
following,27244825,uxatiqur,Nice work,about 1 hour
following,27244825,jahid7755,professional work.,about 8 hours
following,27244825,diponkarkabiraj,You nailed it,about 8 hours
following,27244825,IsmailNahid,Beautiful work! Love the clean layout and spacing.,about 10 hours
following,27244825,alyuiux,Great work 👌,about 10 hours
following,27244825,UIX-Maruf,Cool design,about 10 hours
following,27244825,BDuzzal123-,Very nice,about 10 hours
following,27244788,bhansendesigns,@Dima Moiseenko - Fun! What programs did you use to create that subtle wobble animation?,about 6 hours
following,27244499,tamimalarafat,Great job,about 11 hours
following,27244499,YamiLogos,Cool project! 🔥,about 12 hours
following,27244499,Marina_Vozniuk,"Great work, very stylish project!",about 12 hours
following,27243370,farhana-sharmin,Keep up the great work!,about 1 hour
following,27243370,goflickstudio,This work speaks pure excellence,about 1 hour
following,27243370,mostafizurUx24,Excellent work,about 6 hours
following,27243370,rahidulmin007,Super work,about 7 hours
following,27243370,ashiksen2225,"Clean and professional, well done !",about 7 hours
following,27243370,designbykhosbur,Minimal and powerful.,about 8 hours
