review,split_name,rating,label,annotation
"Okay maybe it was because I happen to be in Yangchun China when I saw this movie. Maybe it was because I finally had something on TV I could understand or at least read the subtitles, or maybe it was just funny. Whatever it was this movie was worth the time.<br /><br />I had just arrived for my foot and head massage when they gave me the remote so I could watch TV. Usually I would turn the darn thing off but I stumbled upon this crazy movie and got hooked.<br /><br />The plot if you could call it a plot sort of revolves around a cooking competition and sort of is a love story and the food in this movie is the real star. If you like Iron Chef and many of the other cooking shows currently in the reality TV mode, then you will love the scenes with food in this movie.<br /><br />It goes fast and the subtitles are so fast you better be up on speed reading for this one. However the action is mostly slapstick so you don't always have to read the entire subtitle to get the idea.<br /><br />The main actress is lovely eye candy and the main actor isn't bad to look at either. They are both worth watching. Finally if you have some time to kill and want a good laugh this isn't a bad choice for both.<br /><br />I don't speak a word of Chinese but I was totally able to understand the cultural humor of this film. For those who do speak Chinese maybe it is even better. Overall I give this an 8 out of 10 and currently I am even looking to find a copy to have while I stay in China, and keep for when I come back home, it will be a nice reminder for me of my time in Yangchun and a silly afternoon at the massage salon watching a silly movie.",test,8,pos,5.0
"THE MERCHANT OF FOUR SEASONS was Rainer Werner Fassbinder's first shot at mainstream acceptance. In a turbulent career of just fifteen years, he managed to create an astounding body of work in film and theater, both as a performer and a creative producer, actor, and director. Although this movie might not appeal to many viewers, the film has much to offer. The storyline is fairly straightforward. A man is ostracized from his upper middle class family due to emotional and economic problems, and proves unable to control his downward spiral. THE MERCHANT OF FOUR SEASONS is shot with a slavish devotion to elegant detail, and each set is very carefully designed and constructed. Every object on set seems painstakingly arranged so as to provoke layers of emotional texture. Many religious paintings and icons decorate the walls of the various rooms and seem to speak to Hans's desperate quest for spiritual meaning or direction in his life. Much thought was given to how lighting and color were employed to contrast and enhance the drama. Several times during the film, I froze the frame to marvel at the beauty of the shot's composition. I streamed this film, and the print was nearly flawless and second to none. Fassbinder employs his actors in an almost vehement ""Anti-Natural' style. He does everything possible to prevent the actors from reacting in a normal or colloquial manner, and this creates a rather stilted effect. However, by doing so, he injects an almost 'hyper-reality' to the narrative. Rather than the presentation of a mundane melodrama, the actors almost militant lack of affectation forces the viewer to confront the film in a different manner. Fassbinder's film intentionally prevents the viewer from easily connecting with the characters' trials and tribulations. You are constantly on the outside, looking in. This will be a disconcerting experience for many, but I found it to be a unique and satisfying artistic adventure.",test,9,pos,4.0
"as a sequel,this is not a bad movie.i actually liked it better than the 1st one.i found it more entertaining.it seemed like it was shot documentary style.at first this bothered me,as i thought it just looked too low budget.but it grew on me,and it made the movie seem more authentic.this movie has more dry one liners than the original,which is a good thing,in my opinion.i do think at times they went a bit over the top with some of the scenes and the characters.it almost becomes a parody of itself,which may be the point.this movie at least has some suspense,which the 1st one did not have,in my view.it has some of the same great music from the original,which is great.the acting again was pretty decent for the most part,though like i said,some of it seemed over the top.i also felt that the movie loses a lot of momentum towards the end and there are a few minutes which seem really slow and just don't seem to flow,like the rest of the movie.overall,though,i thought this was a pretty sequel.my rating for ""Return to Cabin by the Lake"" is 7/10*",train,7,pos,4.0
"I knew absolutely nothing about Chocolat before my viewing of it. I didn't know anything about the story, the cast, the director, or anything about the film's history. All I knew was it was a highly-acclaimed French film. Had I known more, I probably wouldn't have viewed the picture with an open mind. On paper, the premise doesn't sound interesting to me. Had I known what Chocolat was about ahead of time, my interest while watching would have been limited. However, not knowing about the story helped me enjoy it. Throughout, I had no clue has to where the story would go, what the characters would do, and what the end result would be. It was, if nothing else, not a predictable film. Indeed, it could have been as the story is told in flashbacks. Telling a story in flashbacks is often a risky move on the part of the filmmakers. Since the lead character is seen in present day, the audience knows she will remain alive. By using the flashback technique, director Claire Denis is able to ensure the audience that the young girl makes it to adulthood without any serious physical damage, giving the viewer the sense that Chocolat is a story more about emotions than what is on the outside. A lesser filmmaker would give France a haggard-looking face, one that screams of a confused and unusual childhood. Instead, Denis presents France as a beautiful girl, someone who looks fine on the outside. <br /><br />It could be argued that Chocolat is more about France's mother since she is given far more screen time, though I believe it is ultimately about France. To me, what Chocolat is really about is how a mother's actions affect her daughter. It is about how parents' behavior stays with their offspring. France is not ruined by her mother's actions in the story, yet her mother's actions clearly made an impression on France. Had France not been affected at all by her mother's actions, the flashback aspect would be irrelevant. <br /><br />For a movie that deals with two time periods, the past and the present, Chocolat was a very well paced, there were no scene of excess fat. None of the scenes felt gratuitous or out of the place. The film had nice rhythm, the editing crisp, leaving only what was necessary to tell the story. With a well told story, solid editing, and organized directing, Chocolat is one of the better French films I have seen. It was responsible for launching Claire Denis' career and with good reason: it's an incredible directorial debut.",train,8,pos,4.0
"This was a great anime. True the animation is old but its still worth watching and has a better plot than Ninja Scroll, the problem that it was kinda long.<br /><br />Japanese movie star Hiroyuki Sanada who played Ujio from Last Samurai played the main character Jiro and it was directed by Rintaro who did Galaxy Express 999 and Metropolis.<br /><br />The anime has some good animation for an old anime, interesting characters like the main villain Tenkai and Ando Shouzan and of course lets not forget the beautiful musical scores in the film.<br /><br />All in all this movie is worth watching for fans of anime, animation in general, action, and Samurai/Ninja flicks. Despite the lows in the film that didn't the film from being a great film to watch.<br /><br />Don't miss this film.",test,9,pos,5.0
"Since I am a fan of Natalie Portman, I had to see the movie. I enjoyed every minute of it. It plays out in a very sincere way. Throughout the whole movie at seemed as if Natalie was the mother and Susan was the mother. Susan's character kept making bad decisions and kept getting burned because of it.<br /><br />I heard that there was supposed to be a love scene involving Natalie and some-guy (he's in Outside Providence) but Natalie would only accept the script if that scene was removed. And I think that is great. I think that a love scene would have ruined the tone of the film.<br /><br />Natalie must have a knack for picking good movies to be in because I haven't seen her in a bad film yet. So, any movie that has Natalie Portman will no doubt be seen by me.<br /><br />A good film. 7/10",test,7,pos,5.0
"I usually steer clear of TV movies because of the many ways you know that it's TV movies five seconds into the picture. This one got my attention because of the unusual title and its gloomy, well-crafted mood that is established from the very start. While the ever present rain confirmed my suspicions of a misplaced story (even if claiming to be set in California the movie was largely shot around a stormy Vancouver, B.C.), the dark and oppressive outdoors beautifully complement Olmos' excellent acting.",train,8,pos,4
"My Santa Lucia Choir was chosen to be in this movie. All 100 plus. When it came time to film the movie I was asked to chose just 10. Oh my goodness. We had a little gal who went early to have her tonsils out because she wanted to be in the movie. The choices were hard to make. The people of Georgetown are just a lovely as the people that they show in the movie. Gracious, kind, believers. The town sponsors an annual Christmas Market the first two weekend in December every year. I was there this year and it was wonderful. The town is lovely and the people work hard to make it magical. The town appears today as it did when the movie was made. Much credit goes to the Historical Society there that work hard to maintain the historical value. The principal of the school that has been turned into a Charter School was given an award by the Governor of Colorado for Volunteers.",test,10,pos,4.0
"The scenes are fast-paced. the characters are great. I love Anne-Marie Johnson's acting. I really like the ending. <br /><br />However, I was disappointed that this movie didn't delve deeper into Achilles's and Athena's relationship. It only blossomed when they kissed each other.",train,10,pos,4.0
"This film exhibits artful cinematic techniques wherein instead of landscape capturing the attention of the camera it is small details in how someone appears, how the woman may be wearing a cocktail hat and wrapped in a sheet. How the husband may be wearing a hat and socks and shoes and his underwear and both seem so completely at ease and comfortable. How provocative the woman is posed is another feature of the tableau that the director chooses to let us know she is a free spirit sexually and aims to get the pleasure she seeks without flirting directly or with any particular sensitivity to what the man may be feeling. The relationship between the wife and husband is unique. It is an open one wherein she holds nothing back, feels no particular shame for how she has behaved and wants to share these facts with him because her primary focus always is on the fact of their marriage. Nothing and no one can come between the two of them. Only the chances of fate can intervene---his imprisonment during the war and what follows after his return at long last. A very intriguing film which is totally absorbing.",train,8,pos,5.0
"I'm a fan of the horror movie, regardless of which hemisphere it comes from. I know what to expect from the West, the East and most horrors in the middle. So I received the DVD of 'Acacia' in the post and looked forward to a slow build of ever increasing tension and scary children with odd, disjointed movements hiding under duvets.<br /><br />The major selling point for this film was that it has a far more linear story line than many of this ilk - you get who the characters are, where they are from and what they do. You get the baseline information (nice couple, can't have children) and realise that the premise is just too normal for something freaky NOT to happen.<br /><br />And then comes the bad. The number one complaint is that the story is OBVIOUS. I got it pretty much the moment the kid hugged the tree. I knew where the film was going and was even able to predict the order of death and for what reason.<br /><br />The editing is shocking and unfortunately, not to the benefit of the film. Even were I still pondering the events, tension isn't allowed to build because the director seems to have gotten a new editing suite for his birthday and wanted to use it as much as possible.<br /><br />And my final gripe is this....the tree was unnecessary. This would have been a perfectly good tale of subtle horror with just the couple breaking down over the death of the child - the titular tree bought nothing new or exciting to the film. So I'll finish where I started - my overall impression was 'Oh.'",test,3,neg,2.0
"I can imagine why he'd want to die, after starring in this rubbish. The man is incredible, but even Sidney Poitier couldn't save this tiresome morality play about racism in the old West. He and Joanna Going are both fantastic in this film: too bad the screenplay, co-stars, directing, and score couldn't match those two.",test,3,neg,1.0
I can't believe I wasted my time with this movie. I couldn't even call it a movie. It was so bad with nothing to recommend it. <br /><br />I like low budget movies and weird flicks but this one had me bored to death. Badly made and bad acting ruined it from being curious. You have to wonder what these people were thinking when they spent money to produce this movie. I wonder what I was thinking watching it to the end. I recommend this movie to no one. How did they release this? Was there an audience who likes this kind of movie? There must be because you can find this at almost any video store. But why?<br /><br />Deserves to be forgotten.<br /><br />If you like bad movies then this is for you.,train,2,neg,1.0
"Steven Seagal, Mr. Personality himself, this time is the United States' greatest Stealth pilot who is promised a pardon from the military(..who attempted to swipe his memory at the beginning of the movie for which he escaped base, later caught after interrupting a gang of robbers in a shootout at a gas station)if he is able to successfully infiltrate a Northern Afghanistan terrorist base operated by a group called Black Sunday, who have commandeered an Air Force stealth fighter thanks to an American traitor. Along with a fellow pilot who admired the traitor, Jannick(Mark Bazeley), John Sands(Seagal)will fly into enemy territory, receiving help from his Arab lover, Jessica(Ciera Payton)and a freedom fighter, Rojar(Alki David) once they are on ground. Jannick is kidnapped by Black Sunday leaders, Stone(Vincenzo Nicoli)and his female enforcer, Eliana(Katie Jones), and Sands must figure out how to not only re-take command of the kidnapped stealth fighter, but rescue him as well. And, maybe, Sands can get revenge on the traitor he trained, Rather(Steve Toussaint)in the process. Sands has 72 hours until a General's Navy pilots bomb the entire area. On board the stealth, Black Sunday equipped a biochemical bomb, hoping to detonate it on the United States.<br /><br />Seagal gets a chance to shoot Afghans when he isn't slicing their throats with knives. The film is mostly machine guns firing and bodies dropping dead. The setting of Afghanistan doesn't hold up to scrutiny(..nor does how easily Seagal and co. are able to move about the area undetected so easily) and the plot itself is nothing to write home about. The movie is edited fast, the camera a bit too jerky. Seagal isn't as active a hero as he once was and his action scenes are tightly edited where we have a hard time seeing him taking out his foes, unlike the good old days. One of Seagal's poorest efforts, and he's as understated as ever(..not a compliment). Even more disappointing is the fact that Seagal never fights in hand to hand combat with the film's chief villains, tis a shame. He doesn't even snap a wrist or crack a neck in any visible way(..sure we see a slight resemblance of some tool getting tossed around, but it's not as clear a picture as I enjoy because the filmmakers have such fast edits and dizzying close-ups).",train,2,neg,3.0
"This movie was disturbing, not because of the subject matter but because of the way it was handled. The extremely overweight mother (Angela) did not even make it on the cover of the video case when most of the rest of the cast did. This is not fair but is a statement in itself. I also notice her picture is missing from IMDb (maybe her own choice) and it looks like this is her only film ever? The language in this movie was crude beyond necessity. Watched with my 10yr old son because it was rated PG in Canada and the language coming out of their mouths was shameful & disgusting. Never did appreciate Shirley Maclain like so many others seem to.<br /><br />LOVE Kathy Bates and always will. Sinese's part was annoying.<br /><br />The little boy Alex is a great little actor. I'll have to see what else he's been up to lately..",test,3,neg,1.0
"I'm almost embarrassed to admit to seeing CALIGULA twice. The problems with the production are almost too numerous to mention. The script is sub-standard (it's easy to see why Vidal tried to disown it). The direction is worse. Most of the movie consists of long shots inter cut with close-ups interspersed with cross cuts of mostly un-erotic porn (more prevalent obviously in the ""uncut"" version). The cinematography is especially sub par, giving the whole production a cheap washed-out look that undermines some of the elaborate set designs. The movie should've looked a whole lot better. The overall concept of placing name actors in what would've easily been an X-rated movie (Guccione called it ""paganography"") wears thin after the first hour after Peter O'Toole and John Guilgud exit. Bob Guccione obviously lavished a lot of bucks on this but it all seems like a big waste. If you want a far better understanding of the Roman Empire in the 1st Century watch the mid-79's BBC production of I, CLAUDIUS instead... and if you want porn, jeeze-Louise, look somewhere else.",test,1,neg,1.0
"Brilliant technology. But what good does it do if the content is hollow and foolish. I have left after < than 30 minutes of watching, being bored and irritated. <br /><br />The theatre administration returned my money, but the time waisted and aggravation remained. I have been had and no thanks to the stars whose names were the main attraction. <br /><br />George, Meryl, Bill - I hope you were well paid. You might have even liked it. So I apologies for my limited mind. A lot of people seemed to like it too. Look at the comments. Oh well...<br /><br />Wish to know - what is remotely redeeming in a story about Mr Fox the husband, the father, the citizen, the ...whatever.",train,3,neg,1.0
"I was so looking forward to seeing this film that I can't really understand how I got the impression I would enjoy it. I'm afraid it really is a yawn fest - every single patron in the cinema I attended yawned and fidgeted frequently during the whole film. This is a shame because it is a fantastic story - I'm inclined to think that it would make a better read. It is not helped by the principle character only showing his teeth once - and that was as a result of the camera angle. As the story unfolds it becomes easier to understand the main character's dilemmas. However, the suspense and drama that could have made this a really top rated film have been completely spoilt by the dull treatment. Dull as a half-baked documentary!",test,4,neg,1.0
"As we all know Hollywood enjoys changing historical events around for our enjoyment, and 44 minutes is one of those hollywoodized movies. For example the bank robbers never did go back in the bank when they started shooting at the LAPD yet in the movie we see them go back inside twice! Another example is the number of LAPD officers who were shot near the end of the movie, this is far from the truth! But of course Hollywood must have a good bloody ending so they *add* some more blood and guts. Some events were combined and many of the lead actors played several different people but this is what Hollywood has always done so why complain? I guess the only sad part is that I have watched some one hour documentaries about the North Hollywood shootout on TLC that were far better then this!",train,1,neg,
